_Threshold,BMDseg[mg/cc],BV/TV[1],gDSM-BS/BV[1/mm],gDSM-Tb.N[1/mm],DT-Tb.Th[mm],DT-Tb.Sp[mm],MIL.Avg[mm],File,DT-Tb.Sp.SD,DT-Tb.Th.SD,DT-wTb.Sp.SD,DT-wTb.Sp[mm],DT-wTb.Th.SD,DT-wTb.Th[mm],gDSM-Tb.Sp[mm],gDSM-Tb.Th[mm],,,,,,,,,,,,,,,
124,208,551,0,247551,6,3489,0,746973,0,327634,0,781456,0,668073,BA14_120_4Slices.xml,0,384632,0,20462,0,401709,0,787613,0,652674,0,652891,1,733,0,331406
124,205,394,0,230655,5,17961,0,59735,0,41724,1,7755,0,776793,BA16_120_1Slices.xml,0,524591,0,261869,0,553456,1,8193,0,803201,0,828154,1,28793,0,38613
124,207,39,0,24439,5,74461,0,701963,0,364733,0,864954,0,701724,BA16_120_3Slices.xml,0,430352,0,246423,0,452751,0,872432,0,798584,0,738731,1,7642,0,348152
124,211,825,0,251665,5,233,0,629455,0,429074,1,4147,0,806554,BA17_120_1Slices.xml,0,502504,0,251334,0,530204,1,5409,0,796249,0,870758,1,18886,0,399814
124,214,413,0,248271,4,71066,0,58476,0,462166,1,17767,0,857778,BA17_120_2Slices.xml,0,58979,0,264389,0,616423,1,19075,0,836061,0,945505,1,28553,0,424569
124,215,12,0,246762,4,79219,0,591265,0,455838,1,16875,0,843855,BA17_120_3Slices.xml,0,599921,0,264522,0,626589,1,1818,0,84404,0,939474,1,27394,0,417346
124,192,454,0,259199,5,74723,0,744838,0,336156,0,829192,0,699953,BA18_120_1Slices.xml,0,40993,0,205411,0,445304,0,838575,0,538138,0,599834,0,994581,0,347994
124,186,718,0,250622,5,64487,0,707364,0,348588,0,898712,0,712778,BA18_120_2Slices.xml,0,45887,0,216814,0,50084,0,90638,0,536299,0,602334,1,594,0,354304
124,193,734,0,258885,5,58971,0,723545,0,355742,0,847528,0,719745,BA18_120_3Slices.xml,0,40215,0,223632,0,437201,0,857075,0,594231,0,643588,1,2428,0,3578
124,208,166,0,246859,5,88328,0,726171,0,35588,0,812597,0,684093,BA19_120_1Slices.xml,0,394221,0,232346,0,413781,0,81973,0,766849,0,722239,1,3714,0,339947
124,218,187,0,210068,5,46743,0,574265,0,419148,1,11652,0,735489,BA19_120_2Slices.xml,0,549576,0,280133,0,569978,1,11951,0,108604,0,942703,1,37555,0,365802
124,214,742,0,240827,5,121,0,616637,0,420937,1,4486,0,786844,BA19_120_3Slices.xml,0,497134,0,251884,0,521779,1,547,0,849998,0,879523,1,23115,0,390549
124,201,54,0,265213,5,66447,0,751144,0,34363,0,825365,0,70926,BA20_120_1Slices.xml,0,436021,0,216388,0,46626,0,838384,0,654222,0,655557,0,978224,0,353078
124,201,989,0,268302,5,42726,0,728072,0,360384,0,867867,0,741512,BA20_120_2Slices.xml,0,430243,0,212719,0,462557,0,882216,0,615748,0,682583,1,498,0,36851
124,203,832,0,255716,5,58786,0,714452,0,369361,0,85604,0,719811,BA21_120_1Slices.xml,0,408063,0,238838,0,435895,0,866545,0,74376,0,72604,1,4176,0,357919
124,203,603,0,250208,5,49987,0,688055,0,379164,0,901343,0,732211,BA21_120_2Slices.xml,0,426425,0,255041,0,451438,0,910578,0,864615,0,753268,1,8973,0,363645
124,198,748,0,271443,6,7335,0,824284,0,305541,0,716612,0,661578,BA22_120_1Slices.xml,0,360648,0,186439,0,386013,0,727685,0,532798,0,56128,0,883866,0,329307
124,199,992,0,271958,5,64113,0,767077,0,338606,0,790248,0,712642,BA22_120_2Slices.xml,0,382896,0,203617,0,411419,0,80307,0,557986,0,628272,0,949112,0,354539
124,200,122,0,27152,5,71916,0,776432,0,336243,0,768523,0,702818,BA22_120_3Slices.xml,0,365526,0,207212,0,392762,0,780685,0,577995,0,627824,0,938241,0,349702
124,200,73,0,269118,6,5027,0,814119,0,307679,0,724083,0,664979,BA22_120_4Slices.xml,0,356793,0,182451,0,380515,0,734343,0,505776,0,566947,0,897758,0,330564
124,203,361,0,263813,5,46128,0,720378,0,364674,0,863749,0,736222,BA23_120_1Slices.xml,0,412899,0,22751,0,441187,0,876273,0,688049,0,705503,1,2194,0,366214
124,203,161,0,259162,5,61908,0,728125,0,351595,0,848194,0,715655,BA23_120_2Slices.xml,0,410656,0,217988,0,437069,0,859244,0,684386,0,6832,1,1746,0,35593
124,204,562,0,256126,5,56388,0,712528,0,367573,0,856696,0,722675,BA23_120_3Slices.xml,0,404346,0,234833,0,432703,0,867641,0,730229,0,724069,1,4399,0,359462
124,203,391,0,257905,5,54258,0,71473,0,36581,0,867945,0,7253,BA23_120_4Slices.xml,0,431063,0,238279,0,458482,0,879183,0,739958,0,713609,1,3829,0,360843
124,206,853,0,241132,5,76928,0,695579,0,364034,0,858701,0,697421,BA24_120_2Slices.xml,0,392704,0,247182,0,414305,0,865492,0,869626,0,750788,1,9099,0,346663
124,214,292,0,22479,5,47998,0,615923,0,410195,0,992491,0,73412,BA24_120_3Slices.xml,0,460884,0,2902,0,483198,0,997834,0,107488,0,905498,1,25861,0,364965
